name,untargeted?,zhel,Tmax(MJD),e(Tmax),sBV,e(sBV),EBV_MW,spec_counts,filename,Date,MJD,epoch,EXPTOT,SNRY,SNRJ,SNRH,SNRH,SNRK,host_contamination
ASASSN-14mw,untargeted,0.0274,57029.06,0.04,1.063,0.041,0.018,3,ASAS14mw_20150128_fire,2015-01-28,57050.1,20.48072517,1014.4,36.1,15.5,21,21,13.4,No
ASASSN-14my,untargeted,0.0205,57030.75,0.05,0.921,0.04,0.032,3,ASAS14my_20150105_fire,2015-01-05,57027.28,-3.399784736,760.8,45.1,42.8,20.9,20.9,12.8,No
ASASSN-14my,untargeted,0.0205,57030.75,0.05,0.921,0.04,0.032,3,ASAS14my_20150114_fire,2015-01-14,57036.22,5.356617581,1521.6,43.9,35.3,20.7,20.7,15.6,No
ASASSN-14my,untargeted,0.0205,57030.75,0.05,0.921,0.04,0.032,3,ASAS14my_20150128_fire,2015-01-28,57050.24,19.09914916,507.2,45,22.9,34.4,34.4,18.3,No
ASASSN-15aj,untargeted,0.0109,57035.46,0.07,0.83,0.041,0.066,2,ASAS15aj_20150114_fire,2015-01-14,57036.18,0.714333529,760.8,60,77.4,56.3,56.3,38.4,No
ASASSN-15aj,untargeted,0.0109,57035.46,0.07,0.83,0.041,0.066,2,ASAS15aj_20150128_fire,2015-01-28,57050.14,14.51750393,507.2,86.5,47.3,68.5,68.5,44.9,No
ASASSN-15as,untargeted,0.0287,57036.52,0.26,1.077,0.042,0.04,2,ASAS15as_20150114_fire,2015-01-14,57036.31,-0.204165651,760.8,28.5,26.8,14,14,11.3,No
ASASSN-15as,untargeted,0.0287,57036.52,0.26,1.077,0.042,0.04,2,ASAS15as_20150128_fire,2015-01-28,57050.17,13.27107003,1014.4,27.8,13.7,15.8,15.8,14.3,No
ASASSN-15ba,untargeted,0.0231,57044.34,0.57,0.965,0.04,0.022,2,ASAS15ba_20150128_fire,2015-01-28,57050.32,5.843502558,507.2,26.5,22,16.7,16.7,11.3,No
ASASSN-15ba,untargeted,0.0231,57044.34,0.57,0.965,0.04,0.022,2,ASAS15ba_20150307_fire,2015-03-07,57088.38,43.04023026,1014.4,29.5,15,15,15,7.2,No
ASASSN-15be,untargeted,0.0219,57049.54,0.06,1.14,0.04,0.017,2,ASAS15be_20150128_fire,2015-01-28,57050.04,0.491167296,504,38.2,36.2,24.2,24.2,16.3,No
ASASSN-15be,untargeted,0.0219,57049.54,0.06,1.14,0.04,0.017,2,ASAS15be_20150307_fire,2015-03-07,57088,37.63477292,887.6,20.1,9.7,6.8,6.8,3.3,No
ASASSN-15bm,untargeted,0.0208,57054.21,0.04,0.989,0.04,0.069,3,ASAS15bm_20150128_fire,2015-01-28,57050.34,-3.789935933,507.2,42.3,45.7,35.5,35.5,22.1,No
ASASSN-15bm,untargeted,0.0208,57054.21,0.04,0.989,0.04,0.069,3,ASAS15bm_20150204_fire,2015-02-04,57057.37,3.09177757,824.2,54.6,50.4,35.2,35.2,28.5,No
ASASSN-15bm,untargeted,0.0208,57054.21,0.04,0.989,0.04,0.069,3,ASAS15bm_20150307_fire,2015-03-07,57088.39,33.48754933,760.8,35.4,37.8,39.5,39.5,19.1,No
ASASSN-15cd,untargeted,0.0343,57052.79,0.09,1.001,0.04,0.026,1,ASAS15cd_20150128_fire,2015-01-28,57050.2,-2.500717013,507.2,20.8,18.2,9.4,9.4,7.6,No
ASASSN-15eb,untargeted,0.0165,57081.98,0.19,0.82,0.044,0.165,1,ASAS15eb_20150307_fire,2015-03-07,57088.06,5.985820937,634,96,105.6,140.1,140.1,127,Yes
ASASSN-15fr,untargeted,0.0334,57108.75,0.6,0.905,0.045,0.032,1,ASAS15fr_20150407_fire,2015-04-07,57119.11,10.02251993,1521.6,23.4,9.2,7.7,7.7,7.2,No
ASASSN-15ga,untargeted,0.0066,57115.88,0.63,0.5,0.051,0.024,3,ASAS15ga_20150402_fire,2015-04-02,57114.29,-1.577619191,507.2,71.5,84.9,82.9,82.9,59.7,No
ASASSN-15ga,untargeted,0.0066,57115.88,0.63,0.5,0.051,0.024,3,ASAS15ga_20150407_fire,2015-04-07,57119.24,3.336851577,760.8,80,74.7,56.4,56.4,38.4,No
ASASSN-15ga,untargeted,0.0066,57115.88,0.63,0.5,0.051,0.024,3,ASAS15ga_20150412_fire,2015-04-12,57124.18,8.241505075,760.8,39.2,37.2,39.7,39.7,19.9,No
ASASSN-15go,untargeted,0.0189,57124.12,0.07,1.072,0.041,0.137,1,ASAS15go_20150412_fire,2015-04-11,57123.97,-0.144917026,507.2,46,47,30.5,30.5,25.7,No
ASASSN-15gr,untargeted,0.0243,57126.42,0.14,1.031,0.04,0.082,1,ASAS15gr_20150412_fire,2015-04-12,57124,-2.365080045,1014.4,65.3,64.2,37.5,37.5,25.6,No
ASASSN-15hf,untargeted,0.0062,57137.22,0.05,0.939,0.04,0.085,1,ASAS15hf_20150602_fire,2015-06-02,57175.06,37.60996665,1141.2,103.3,119.6,156.1,156.1,106,Yes
ASASSN-15hx,untargeted,0.0083,57151.6,0.03,1.034,0.04,0.042,1,ASAS15hx_20150601_fire,2015-06-01,57174.13,22.34870023,507.2,100.6,100.1,142,142,104.8,No
